,image_id,ques_id,question,answer,answer,answer,answer,answer,answer,answer,answer,answer,answer
0,458752,458752000,What is this photo taken looking through?,net,net,net,netting,net,net,mesh,net,net,net
1,458752,458752001,What position is this man playing?,pitcher,catcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
2,458752,458752002,What color is the players shirt?,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange
3,458752,458752003,Is this man a professional baseball player?,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
4,262146,262146000,What color is the snow?,white,white,white,white,white,white,white,white,white,white
5,262146,262146001,What is the person doing?,skiing,skiing,skiing,skiing,skiing,skiing,skiing,skiing,skiing,skiing
6,262146,262146002,What color is the persons headwear?,red,red,red & white,black,red,red,red,red,red,red and white
7,524291,524291000,What is in the person's hand?,frisbee,frisbee,white frisbee,frisbie,frisbee,frisbee,frisbee,frisbee,flying disc,frisbee
8,524291,524291001,Is the dog waiting?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
9,524291,524291002,Is the dog looking at a tennis ball or frisbee?,frisbee,frisbee,frisbee,frisbee,frisbee,frisbee,frisbee,frisbee,frisbee,frisbee
10,393221,393221000,Is the sky blue?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
11,393221,393221001,Is there snow on the mountains?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
12,393221,393221002,What is the white streak?,airplane,plane trail,contrail,jet trail,snow,contrails,jet stream,air trail,jet stream,contrail
13,393223,393223000,Is the window open?,yes,no,yes,no,yes,yes,yes,yes,yes,yes
14,393223,393223001,What color is the toothbrush?,white and purple,white,white and purple,white and purple,purple and white,white,white,white & lavender,white and purple,lavender and white
15,393223,393223002,What is the child doing?,brushing teeth,brushing,brushing their teeth,brushing teeth,brushing teeth,brushing teeth,brushing teeth,brushing teeth,brushing teeth,toothbrush
16,393223,393223003,Is she brushing?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
17,393224,393224000,Is the man smiling?,no,no,no,no,no,no,no,no,no,no
18,393224,393224001,What is the business man doing in the picture?,waiting,standing,walking,unknown,frowning,pouting,walking,frowning,frowning,frowning
19,393224,393224002,Does his tie pair well with his suit?,yes,no,no,no,poorly,yes,yes,no,no,no
20,393224,393224003,Does the man look happy?,no,no,no,no,no,no,no,no,yes,no
21,393224,393224004,Is this photo in color?,no,no,no,no,no,no,no,no,no,no
22,393224,393224005,Is the man wearing a plain tie?,no,no,no,no,no,no,no,yes,no,no
23,524297,524297000,"Judging from the dress, was this taken in a Latin American country?",yes,yes,no,yes,yes,yes,no,yes,no,yes
24,524297,524297001,What colors are shown in this picture?,"black, white",black and white,black and white,black and white,white and gray,black white,black and white,"black, white, gray",black and white,black and white
25,524297,524297002,Are the men on the sidewalk?,no,no,no,no,no,no,no,yes,no,no
26,524297,524297003,Was this photo taken recently?,no,no,no,no,no,no,no,no,no,no
27,393227,393227000,Does the guy have a tattoo?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
28,393227,393227001,What is this man riding on?,skateboard,skateboard,skateboard,skateboard,skateboard,skateboard,skateboard,skateboard,skateboard,skateboard
29,393227,393227002,How many tattoos can be seen on this man's body?,1,1,1,1,3,2,1,1,1,1
30,393227,393227003,What color is his hat?,backwards,blue,blue,blue,blue,blue,blue,blue,blue,blue
31,393227,393227004,Is the man's visor providing his face enough protection?,no,no,no,no,no,no,no,no,no,no
32,131084,131084000,What color is the jacket?,green,green and black,green and black,green,green and black,green,green,green,green,green
33,131084,131084001,Is the man riding on a dirt path?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
